Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,37.53553356619917,4.601389842742803,37.53553356619917,(((0.9273943840889889 / X1 ) * (((-0.353555829708732 / 0.4124810123726923) / -0.961661029781091) + (0.9822836357065541 / X1 ))) - 0.9273943840889889),(((0.9273943840889889 / X1 ) * (0.8913166594664971 + (0.9822836357065541 / X1 ))) - 0.9273943840889889)
1,14.907629411444187,3.1325948218576247,14.907629411444187,((0.3011481983118376 - (-0.353555829708732 + (-0.961661029781091 - 0.4124810123726923))) / ((((0.9822836357065541 * 0.6483934018899016) - -0.961661029781091) + ((-0.961661029781091 + 0.9273943840889889) - 0.9273943840889889)) * (((0.7334181044745867 / 0.6483934018899016) / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015)))),(2.028846070174353 / (0.6369062281765534 * ((1.1311313507152598 / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015))))
2,11.929010038230128,3.1325948218576247,11.929010038230128,((0.3011481983118376 - (-0.353555829708732 + (-0.961661029781091 - 0.4124810123726923))) / ((((0.9822836357065541 * 0.6483934018899016) - -0.961661029781091) + ((-0.961661029781091 + 0.9273943840889889) - 0.9273943840889889)) * (((0.7334181044745867 / 0.6483934018899016) / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015)))),(2.028846070174353 / (0.6369062281765534 * ((1.1311313507152598 / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015))))
3,11.212543329495068,2.8849415462476373,11.212543329495068,((0.3011481983118376 - (-0.353555829708732 + ((0.7334181044745867 * (0.4124810123726923 * 0.4124810123726923)) - 0.4124810123726923))) / ((((0.9822836357065541 * 0.6483934018899016) - -0.961661029781091) + (-0.353555829708732 - 0.9273943840889889)) * (((0.7334181044745867 / 0.6483934018899016) / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015)))),(0.9424008546317824 / (0.31761704415992353 * ((1.1311313507152598 / (0.9715119458441015 + X1 )) + ((X1  + 0.9273943840889889) / 0.9715119458441015))))
4,10.314126976366536,2.4481277953977787,10.314126976366536,((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * (0.4124810123726923 + -0.961661029781091))))))) * 0.6483934018899016),((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * -0.5491800174083987)))))) * 0.6483934018899016)
5,9.9561841547933,2.4481277953977787,9.9561841547933,((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * (0.4124810123726923 + -0.961661029781091))))))) * 0.6483934018899016),((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * -0.5491800174083987)))))) * 0.6483934018899016)
6,9.611281308209517,2.4481277953977787,9.611281308209517,((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * (0.4124810123726923 + -0.961661029781091))))))) * 0.6483934018899016),((0.9273943840889889 + (X1  * (0.9715119458441015 * (0.9273943840889889 + (((X1  + -0.353555829708732) * 0.7334181044745867) * (((0.3011481983118376 * X1 ) + 0.9822836357065541) * -0.5491800174083987)))))) * 0.6483934018899016)
7,9.296892687027325,2.3951950243312625,9.296892687027325,(((((0.9822836357065541 / 0.9822836357065541) - (((X1  - -0.961661029781091) + 0.9273943840889889) * (((0.3011481983118376 * X1 ) * 0.3011481983118376) / 0.6483934018899016))) / (0.6483934018899016 / X1 )) + ((((0.7334181044745867 + 0.9273943840889889) * 0.9822836357065541) * 0.9822836357065541) - 0.4124810123726923)) * (0.9273943840889889 * 0.7334181044745867)),((((1.0 - (((X1  - -0.961661029781091) + 0.9273943840889889) * (((0.3011481983118376 * X1 ) * 0.3011481983118376) / 0.6483934018899016))) / (0.6483934018899016 / X1 )) + 1.1900056365411924) * 0.680167831278923)
8,8.808711764997593,2.0986455106259734,8.808711764997593,((X1  + 0.9273943840889889) / (((0.7334181044745867 / 0.9273943840889889) / ((((X1  * (((0.9715119458441015 - 0.4124810123726923) * X1 ) + 0.9273943840889889)) * (0.6483934018899016 - ((-0.353555829708732 * (((-0.9318897667036403 - 0.6483934018899016) / (0.9822836357065541 - -0.9318897667036403)) / -0.353555829708732)) + 0.9822836357065541))) * -0.353555829708732) + 0.9715119458441015)) + 0.3011481983118376)),((X1  + 0.9273943840889889) / ((0.7908373363669312 / ((((X1  * ((0.5590309334714092 * X1 ) + 0.9273943840889889)) * 0.49167926088208214) * -0.353555829708732) + 0.9715119458441015)) + 0.3011481983118376))
9,8.732119549908047,2.0986455106259734,8.732119549908047,((X1  + 0.9273943840889889) / (((0.7334181044745867 / 0.9273943840889889) / ((((X1  * (((0.9715119458441015 - 0.4124810123726923) * X1 ) + 0.9273943840889889)) * (0.6483934018899016 - ((-0.353555829708732 * (((-0.9318897667036403 - 0.6483934018899016) / (0.9822836357065541 - -0.9318897667036403)) / -0.353555829708732)) + 0.9822836357065541))) * -0.353555829708732) + 0.9715119458441015)) + 0.3011481983118376)),((X1  + 0.9273943840889889) / ((0.7908373363669312 / ((((X1  * ((0.5590309334714092 * X1 ) + 0.9273943840889889)) * 0.49167926088208214) * -0.353555829708732) + 0.9715119458441015)) + 0.3011481983118376))
