Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,64.13892885417765,0.22878758045007352,64.13892885417765,((X1  / (((0.8222771019863492 + X1 ) - (2.3325247419177724 - 2.7055895562884382)) / 2.1216066186518816)) + (X1  / 2.3325247419177724)),((X1  / (((0.8222771019863492 + X1 ) - -0.37306481437066585) / 2.1216066186518816)) + (X1  / 2.3325247419177724))
1,20.46405653754807,0.22878758045007352,20.46405653754807,((X1  / (((0.8222771019863492 + X1 ) - (2.3325247419177724 - 2.7055895562884382)) / 2.1216066186518816)) + (X1  / 2.3325247419177724)),((X1  / (((0.8222771019863492 + X1 ) - -0.37306481437066585) / 2.1216066186518816)) + (X1  / 2.3325247419177724))
2,12.080853315542077,0.22878758045007352,12.080853315542077,((X1  / (((0.8222771019863492 + X1 ) - (2.3325247419177724 - 2.7055895562884382)) / 2.1216066186518816)) + (X1  / 2.3325247419177724)),((X1  / (((0.8222771019863492 + X1 ) - -0.37306481437066585) / 2.1216066186518816)) + (X1  / 2.3325247419177724))
3,9.580223979843526,0.22878758045007352,9.580223979843526,((X1  / (((0.8222771019863492 + X1 ) - (2.3325247419177724 - 2.7055895562884382)) / 2.1216066186518816)) + (X1  / 2.3325247419177724)),((X1  / (((0.8222771019863492 + X1 ) - -0.37306481437066585) / 2.1216066186518816)) + (X1  / 2.3325247419177724))
4,7.433805832601526,0.12471255880516352,7.433805832601526,(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724)),(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724))
5,6.367606884102381,0.12471255880516352,6.367606884102381,(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724)),(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724))
6,6.632749057618021,0.12471255880516352,6.632749057618021,(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724)),(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724))
7,6.409578034658125,0.12471255880516352,6.409578034658125,(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724)),(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724))
8,6.416190213015395,0.12471255880516352,6.416190213015395,(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724)),(2.37695296735834 * ((X1  / (1.5108545334849839 + (1.5108545334849839 + X1 ))) * 2.3325247419177724))
9,6.063341822745289,0.11967050606763174,6.063341822745289,(X1  / ((1.5108545334849839 + (X1  / 2.1216066186518816)) / 2.7055895562884382)),(X1  / ((1.5108545334849839 + (X1  / 2.1216066186518816)) / 2.7055895562884382))
