Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,156211.45596344405,1.9339444742687375,156211.45596344405,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 7.428682648435674))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 0.9373863210276944))
1,5931.381840386961,1.9339444742687375,5931.381840386961,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 7.428682648435674))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 0.9373863210276944))
2,280.559749311216,1.9339444742687375,280.559749311216,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 7.428682648435674))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 0.9373863210276944))
3,118.53079440471791,1.9339444742687375,118.53079440471791,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 7.428682648435674))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 0.9373863210276944))
4,86.13750908531155,1.6425516788243746,86.13750908531155,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (7.428682648435674 / 7.428682648435674))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 0.9975250245618998))
5,112.84722769581286,1.3351811366165567,112.84722769581286,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 2.409369743735834))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 1.1073840551631955))
6,477.5609637672531,1.3351811366165567,477.5609637672531,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 2.409369743735834))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 1.1073840551631955))
7,1280.0954729636157,1.3351811366165567,1280.0954729636157,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 2.409369743735834))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 1.1073840551631955))
8,1314.9867256797245,1.3351811366165567,1314.9867256797245,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((1.3440525968681067 * 5.9625440458122645) - (4.085875414234446 / 2.409369743735834))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + 1.1073840551631955))
9,218.8630981218661,1.095354923310972,218.8630981218661,((((((0.9850333071293886 - (6.011580091159982 + 2.409369743735834)) / X1 ) + X1 ) * 7.428682648435674) / (((X1  / 1.3440525968681067) + (5.9625440458122645 * 4.085875414234446)) + ((0.9850333071293886 / 2.6488276660666163) * (0.9850333071293886 * (X1  / 2.409369743735834))))) + 2.6488276660666163),(((((-7.4359165277664285 / X1 ) + X1 ) * 7.428682648435674) / (((X1  / 1.3440525968681067) + 24.362212123074315) + (0.3718751958643336 * (0.9850333071293886 * (X1  / 2.409369743735834))))) + 2.6488276660666163)
10,3311.753156113854,0.979088947693632,3311.753156113854,(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + ((6.011580091159982 + 0.9850333071293886) / ((0.9850333071293886 * 5.9625440458122645) - (((0.9850333071293886 / ((7.428682648435674 / X1 ) * (0.9850333071293886 * 6.011580091159982))) + 7.428682648435674) / (5.9625440458122645 - X1 )))))),(X1  / (((1.3440525968681067 + (X1  / 1.3440525968681067)) / 7.428682648435674) + (6.996613398289371 / (5.873304480351099 - (((0.9850333071293886 / ((7.428682648435674 / X1 ) * 5.921606618268509)) + 7.428682648435674) / (5.9625440458122645 - X1 ))))))
