Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,6.324742861981689E13,3041.947623058677,6.324742861981689E13,(X2  * (X2  / ((42.33208594631379 + (32.69823399455698 * 30.31615075323414)) / (67.85100667393604 * (36.26699381619204 + 24.614020130438487))))),(X2  * (X2  / 0.25021960584493075))
1,5.053615797112718E12,810.3891354171301,5.053615797112718E12,(((53.465680668710824 + 92.75799144985413) / 42.33208594631379) * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 )),(3.4542042720032295 * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 ))
2,6.514009436024919E9,810.3891354171301,6.514009436024919E9,(((53.465680668710824 + 92.75799144985413) / 42.33208594631379) * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 )),(3.4542042720032295 * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 ))
3,1.19890471769616E9,810.3891354171301,1.19890471769616E9,(((53.465680668710824 + 92.75799144985413) / 42.33208594631379) * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 )),(3.4542042720032295 * (((X1  * 92.75799144985413) / 81.9194288933517) * X1 ))
4,3.876254969400614E7,412.7085414452195,3.876254969400614E7,(((X2  - 42.33208594631379) + (((X2  + X2 ) + 36.26699381619204) + X1 )) * X2 ),(((X2  - 42.33208594631379) + (((X2  + X2 ) + 36.26699381619204) + X1 )) * X2 )
5,1.8881397315304247E8,236.56622694337045,1.8881397315304247E8,((((X1  * X1 ) + 42.33208594631379) - 67.85100667393604) / (8.44662935508328 / ((X1  / ((92.75799144985413 - 30.31615075323414) + 81.9194288933517)) - ((8.44662935508328 / 81.9194288933517) - 32.69823399455698)))),((((X1  * X1 ) + 42.33208594631379) - 67.85100667393604) / (8.44662935508328 / ((X1  / 144.3612695899717) - -32.595125007236284)))
6,8.197741379667673E8,236.56622694337045,8.197741379667673E8,((((X1  * X1 ) + 42.33208594631379) - 67.85100667393604) / (8.44662935508328 / ((X1  / ((92.75799144985413 - 30.31615075323414) + 81.9194288933517)) - ((8.44662935508328 / 81.9194288933517) - 32.69823399455698)))),((((X1  * X1 ) + 42.33208594631379) - 67.85100667393604) / (8.44662935508328 / ((X1  / 144.3612695899717) - -32.595125007236284)))
7,3.728049145943574E7,85.5494247350868,3.728049145943574E7,(X1  * ((((X1  * 32.69823399455698) + X2 ) - 53.465680668710824) / 8.44662935508328)),(X1  * ((((X1  * 32.69823399455698) + X2 ) - 53.465680668710824) / 8.44662935508328))
8,1.0428380444068024E8,64.34683013233354,1.0428380444068024E8,(X1  * ((((X1  * 32.69823399455698) + ((((X1  - 92.75799144985413) + (X1  * X2 )) + 42.33208594631379) / X2 )) - 53.465680668710824) / 8.44662935508328)),(X1  * ((((X1  * 32.69823399455698) + ((((X1  - 92.75799144985413) + (X1  * X2 )) + 42.33208594631379) / X2 )) - 53.465680668710824) / 8.44662935508328))
9,6.086345764652856E9,64.34683013233354,6.086345764652856E9,(X1  * ((((X1  * 32.69823399455698) + ((((X1  - 92.75799144985413) + (X1  * X2 )) + 42.33208594631379) / X2 )) - 53.465680668710824) / 8.44662935508328)),(X1  * ((((X1  * 32.69823399455698) + ((((X1  - 92.75799144985413) + (X1  * X2 )) + 42.33208594631379) / X2 )) - 53.465680668710824) / 8.44662935508328))
10,2.0430759577725304E10,10.103440609762131,2.0430759577725304E10,(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 ),(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 )
11,5.60917918571093E8,10.103440609762131,5.60917918571093E8,(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 ),(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 )
12,2.7199825562804672E11,10.103440609762131,2.7199825562804672E11,(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 ),(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 )
13,5.920675272250087E10,10.103440609762131,5.920675272250087E10,(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 ),(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 )
14,2.838417944988953E11,10.103440609762131,2.838417944988953E11,(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 ),(((X1  + (92.75799144985413 / (92.75799144985413 / X2 ))) * ((X1  + X1 ) - ((X1  + (X2  + ((((92.75799144985413 - (X1  - 32.69823399455698)) / 81.9194288933517) / (53.465680668710824 - ((((24.614020130438487 - X2 ) / 42.33208594631379) - 67.85100667393604) - 53.465680668710824))) + (X1  + X1 )))) / X2 ))) + X1 )
