Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,4.6229701236307824E92,9.762835124380953E9,4.6229701236307824E92,(((((-3.134182174341694E9 - X1 ) / -2.413944940537811E9) * (-3.134182174341694E9 - (1.635038898930005E9 - -2.413944940537811E9))) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 ))),(((((-3.134182174341694E9 - X1 ) / -2.413944940537811E9) * -7.183166013809509E9) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 )))
1,2.935227460717697E83,9.762835124380953E9,2.935227460717697E83,(((((-3.134182174341694E9 - X1 ) / -2.413944940537811E9) * (-3.134182174341694E9 - (1.635038898930005E9 - -2.413944940537811E9))) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 ))),(((((-3.134182174341694E9 - X1 ) / -2.413944940537811E9) * -7.183166013809509E9) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 )))
2,4.5114784308941344E70,3.610158749391347E9,4.5114784308941344E70,(((((-1.4295027724985213E9 / -1.4295027724985213E9) / (-2.3300085878980794E9 - 1.5405099119826412E9)) - X1 ) - ((X1  / 1.635038898930005E9) - (-4.7063525083388233E8 - ((X1  * -2.3300085878980794E9) * X1 )))) * ((1.9614668748492432E9 - (-2.3300085878980794E9 - (-1.4295027724985213E9 * X1 ))) / (1.9614668748492432E9 * -4.7063525083388233E8))),(((-2.58363317480802E-10 - X1 ) - ((X1  / 1.635038898930005E9) - (-4.7063525083388233E8 - ((X1  * -2.3300085878980794E9) * X1 )))) * ((1.9614668748492432E9 - (-2.3300085878980794E9 - (-1.4295027724985213E9 * X1 ))) / -9.231354546470249E17))
3,5.54825458627879E72,3.610158749391347E9,5.54825458627879E72,(((((-1.4295027724985213E9 / -1.4295027724985213E9) / (-2.3300085878980794E9 - 1.5405099119826412E9)) - X1 ) - ((X1  / 1.635038898930005E9) - (-4.7063525083388233E8 - ((X1  * -2.3300085878980794E9) * X1 )))) * ((1.9614668748492432E9 - (-2.3300085878980794E9 - (-1.4295027724985213E9 * X1 ))) / (1.9614668748492432E9 * -4.7063525083388233E8))),(((-2.58363317480802E-10 - X1 ) - ((X1  / 1.635038898930005E9) - (-4.7063525083388233E8 - ((X1  * -2.3300085878980794E9) * X1 )))) * ((1.9614668748492432E9 - (-2.3300085878980794E9 - (-1.4295027724985213E9 * X1 ))) / -9.231354546470249E17))
4,4.132654024987273E48,8.390694506178105E8,4.132654024987273E48,(((((-3.134182174341694E9 - 1.9614668748492432E9) / -2.413944940537811E9) * (-3.134182174341694E9 - (1.635038898930005E9 - -2.413944940537811E9))) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / ((X1  * (1.9614668748492432E9 + 1.635038898930005E9)) / 1.635038898930005E9)))),(-1.2028919706637497E10 * ((X1  * X1 ) / (-4.970299142365891E9 / ((X1  * 3.596505773779248E9) / 1.635038898930005E9))))
5,1.2790535566119145E42,4.2076441726194644E8,1.2790535566119145E42,(((((-3.134182174341694E9 - 1.9614668748492432E9) / -2.413944940537811E9) * (-3.134182174341694E9 - (1.635038898930005E9 - -2.413944940537811E9))) - -3.134182174341694E9) * ((X1  * X1 ) / ((((-2.3300085878980794E9 - -2.9785829497262745E9) / (1.5405099119826412E9 + -1.4295027724985213E9)) + -2.3300085878980794E9) / X1 ))),(-1.2028919706637497E10 * ((X1  * X1 ) / (-2.330008582055443E9 / X1 )))
6,5.823694846302995E41,1.2647423194564925E8,5.823694846302995E41,((-2.3300085878980794E9 / (-4.7063525083388233E8 / (((1.635038898930005E9 * X1 ) + (X1  + ((-4.7063525083388233E8 + -2.3300085878980794E9) + 1.635038898930005E9))) / (1.635038898930005E9 / X1 )))) * X1 ),((-2.3300085878980794E9 / (-4.7063525083388233E8 / (((1.635038898930005E9 * X1 ) + (X1  + -1.1656049398019567E9)) / (1.635038898930005E9 / X1 )))) * X1 )
7,1.5682209907092834E39,1.2583590234115565E8,1.5682209907092834E39,((X1  / -4.7063525083388233E8) * ((((X1  * -2.3300085878980794E9) * X1 ) + (X1  * 1.9614668748492432E9)) + ((-2.3300085878980794E9 - -3.134182174341694E9) * (-4.970299142365891E9 / (((((-1.4295027724985213E9 - -2.413944940537811E9) - -2.3300085878980794E9) - (X1  * ((-4.970299142365891E9 + 1.635038898930005E9) / -4.7063525083388233E8))) / X1 ) * (-2.9785829497262745E9 + (1.9614668748492432E9 / 1.635038898930005E9))))))),((X1  / -4.7063525083388233E8) * ((((X1  * -2.3300085878980794E9) * X1 ) + (X1  * 1.9614668748492432E9)) + (8.041735864436145E8 * (-4.970299142365891E9 / (((3.314450755937369E9 - (X1  * 7.086719997123878)) / X1 ) * -2.978582948526629E9)))))
8,3.920830321741267E51,8.783711747818457E7,3.920830321741267E51,(((((-3.134182174341694E9 - 1.9614668748492432E9) / -2.413944940537811E9) * ((((-4.7063525083388233E8 + -4.970299142365891E9) - ((((-1.4295027724985213E9 * (X1  / 1.5405099119826412E9)) - (1.635038898930005E9 + ((((1.9614668748492432E9 / -4.970299142365891E9) * X1 ) / -4.7063525083388233E8) + -4.970299142365891E9))) / -2.413944940537811E9) * -2.3300085878980794E9)) - (X1  - -4.7063525083388233E8)) - (1.635038898930005E9 - -2.413944940537811E9))) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 ))),(((2.1109218207999643 * (((-5.440934393199774E9 - ((((-1.4295027724985213E9 * (X1  / 1.5405099119826412E9)) - (1.635038898930005E9 + (((-0.39463758994505377 * X1 ) / -4.7063525083388233E8) + -4.970299142365891E9))) / -2.413944940537811E9) * -2.3300085878980794E9)) - (X1  - -4.7063525083388233E8)) - 4.048983839467816E9)) - -3.134182174341694E9) * ((X1  * X1 ) / (-4.970299142365891E9 / X1 )))
9,3.333538841061153E51,2.3166275323792323E7,3.333538841061153E51,(((-2.413944940537811E9 - ((-2.9785829497262745E9 + (((X1  - (X1  + 1.635038898930005E9)) - ((X1  + X1 ) * (-4.970299142365891E9 + ((-2.9785829497262745E9 / (-4.970299142365891E9 * ((1.9614668748492432E9 * ((-2.413944940537811E9 - (1.9614668748492432E9 / -4.970299142365891E9)) / 1.635038898930005E9)) + -3.134182174341694E9))) + X1 )))) + X1 )) * X1 )) * X1 ) / (-4.970299142365891E9 - -2.9785829497262745E9)),(((-2.413944940537811E9 - ((-2.9785829497262745E9 + (((X1  - (X1  + 1.635038898930005E9)) - ((X1  + X1 ) * (-4.970299142365891E9 + (-9.938149630819424E-11 + X1 )))) + X1 )) * X1 )) * X1 ) / -1.991716192639617E9)
