Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,25107.777101545147,62.01272972132913,25107.777101545147,((((-4.951210462083003 + (X1  * 9.025283252469098)) / 2.2688075262800407) - 6.101987376697831) * X1 ),((((-4.951210462083003 + (X1  * 9.025283252469098)) / 2.2688075262800407) - 6.101987376697831) * X1 )
1,3193.0032859064736,62.01272972132913,3193.0032859064736,((((-4.951210462083003 + (X1  * 9.025283252469098)) / 2.2688075262800407) - 6.101987376697831) * X1 ),((((-4.951210462083003 + (X1  * 9.025283252469098)) / 2.2688075262800407) - 6.101987376697831) * X1 )
2,1551.6066105158209,35.56765027317239,1551.6066105158209,((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + (1.98768811875874 / (2.2688075262800407 * 2.2688075262800407))) * (X1  + X1 )),((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + 0.38614723853172694) * (X1  + X1 ))
3,1562.4192076896834,19.507051954423382,1562.4192076896834,((((-4.951210462083003 + 9.025283252469098) * X1 ) + (-4.951210462083003 - 1.98768811875874)) * X2 ),(((4.074072790386095 * X1 ) + -6.938898580841743) * X2 )
4,1735.3382497225448,19.507051954423382,1735.3382497225448,((((-4.951210462083003 + 9.025283252469098) * X1 ) + (-4.951210462083003 - 1.98768811875874)) * X2 ),(((4.074072790386095 * X1 ) + -6.938898580841743) * X2 )
5,1627.5414099542554,9.048685138374214,1627.5414099542554,((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + (1.98768811875874 / (2.2688075262800407 * (-7.808248607999701 - (((-7.808248607999701 - 1.98768811875874) + ((((X2  + (X2  * -1.4265405771522524)) - -7.808248607999701) + ((X1  + X2 ) * X1 )) * X1 )) * X1 ))))) * (X1  + X1 )),((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + (1.98768811875874 / (2.2688075262800407 * (-7.808248607999701 - ((-9.795936726758441 + ((((X2  + (X2  * -1.4265405771522524)) - -7.808248607999701) + ((X1  + X2 ) * X1 )) * X1 )) * X1 ))))) * (X1  + X1 ))
6,1758.4727169464916,5.674465936577555,1758.4727169464916,(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - (6.101987376697831 + -1.5627826170412629)) / (X2  * (((-1.5627826170412629 / X1 ) + (9.025283252469098 - (8.010410215858442 * (-1.5627826170412629 - 7.421078211259093)))) - 2.2688075262800407)))) * (X1  + X1 )) - -1.5627826170412629),(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - 4.5392047596565686) / (X2  * (((-1.5627826170412629 / X1 ) + 80.98969380933676) - 2.2688075262800407)))) * (X1  + X1 )) - -1.5627826170412629)
7,2695.4967893157554,2.8445453004120376,2695.4967893157554,(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - (6.101987376697831 + -1.5627826170412629)) / (X2  * (((-1.5627826170412629 / X1 ) + (9.025283252469098 - ((2.2688075262800407 + X1 ) - 9.025283252469098))) - 2.2688075262800407)))) * (X1  + X1 )) - -1.5627826170412629),(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - 4.5392047596565686) / (X2  * (((-1.5627826170412629 / X1 ) + (9.025283252469098 - ((2.2688075262800407 + X1 ) - 9.025283252469098))) - 2.2688075262800407)))) * (X1  + X1 )) - -1.5627826170412629)
8,1748.488033638395,2.324885788102669,1748.488033638395,(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - -1.4265405771522524) / (X2  * 2.2688075262800407))) * (X1  + X1 )) - ((X2  + ((-1.4265405771522524 - -1.4265405771522524) - (6.101987376697831 - ((2.2688075262800407 - X1 ) + 2.2688075262800407)))) - ((-1.5627826170412629 + ((((-1.4265405771522524 + -7.808248607999701) * (X1  - -1.5627826170412629)) / 1.98768811875874) + -1.4265405771522524)) / 6.101987376697831))),(((((X2  - 1.98768811875874) + (X1  + -1.5627826170412629)) + ((X1  - -1.4265405771522524) / (X2  * 2.2688075262800407))) * (X1  + X1 )) - ((X2  + (0.0 - (6.101987376697831 - ((2.2688075262800407 - X1 ) + 2.2688075262800407)))) - ((-1.5627826170412629 + (((-9.234789185151953 * (X1  - -1.5627826170412629)) / 1.98768811875874) + -1.4265405771522524)) / 6.101987376697831)))
9,1902.0738241050667,2.0528573468944025,1902.0738241050667,(((((X2  - 2.2688075262800407) + (X1  + -1.5627826170412629)) + ((X1  - -1.4265405771522524) / (X2  * (2.2688075262800407 + (8.010410215858442 + -7.808248607999701))))) * (X1  + X1 )) - (((-7.808248607999701 + 7.421078211259093) + (X2  / ((-7.808248607999701 / -1.4265405771522524) - (X2  * 7.421078211259093)))) - ((-1.5627826170412629 + ((((-7.808248607999701 - X2 ) + 8.010410215858442) + 2.2688075262800407) + -4.951210462083003)) / 6.101987376697831))),(((((X2  - 2.2688075262800407) + (X1  + -1.5627826170412629)) + ((X1  - -1.4265405771522524) / (X2  * 2.470969134138782))) * (X1  + X1 )) - ((-0.3871703967406077 + (X2  / (5.473555209755761 - (X2  * 7.421078211259093)))) - ((-1.5627826170412629 + ((((-7.808248607999701 - X2 ) + 8.010410215858442) + 2.2688075262800407) + -4.951210462083003)) / 6.101987376697831)))
