Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,1.138844830677836E59,4088458.701672375,1.138844830677836E59,(X1  + ((((2797988.594589878 + 1836005.585774581) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((2685984.66599704 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((4633994.180364459 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 8400587.025737982)))
1,7.108711370968508E52,3954602.0556300753,7.108711370968508E52,(X1  + ((((3069449.4765604017 + 1836005.585774581) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((220587.74979319063 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((4905455.062334983 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 689902.1473979835)))
2,5.871353429565147E33,3954602.0556300753,5.871353429565147E33,(X1  + ((((3069449.4765604017 + 1836005.585774581) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((220587.74979319063 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((4905455.062334983 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 689902.1473979835)))
3,1.3151649154460768E34,3954602.0556300753,1.3151649154460768E34,(X1  + ((((3069449.4765604017 + 1836005.585774581) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((220587.74979319063 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((4905455.062334983 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 689902.1473979835)))
4,1.8256541437115205E26,2079776.0512817295,1.8256541437115205E26,(X1  + ((((2797988.594589878 + 3392485.2716381643) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((2685984.66599704 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((6190473.866228042 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 8400587.025737982)))
5,8.14986440475559E27,2079776.0512817295,8.14986440475559E27,(X1  + ((((2797988.594589878 + 3392485.2716381643) * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((2685984.66599704 * 3099553.919329728) / 991044.3488345748)))),(X1  + (((6190473.866228042 * (X1  * X1 )) * 2.0080927419496264E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 8400587.025737982)))
6,1.8363076840031655E29,327923.08696794347,1.8363076840031655E29,(X1  + (((991044.3488345748 * (X1  * X1 )) * ((3069449.4765604017 / 2685984.66599704) / (3099553.919329728 * 220587.74979319063))) * (((3099553.919329728 * X1 ) - X1 ) + (3099553.919329728 / 991044.3488345748)))),(X1  + (((991044.3488345748 * (X1  * X1 )) * 1.6713845145206333E-12) * (((3099553.919329728 * X1 ) - X1 ) + 3.127563285108955)))
7,4.741397963799454E27,107562.99484789337,4.741397963799454E27,(X1  + ((((2797988.594589878 + 220587.74979319063) * (X1  * X1 )) * ((3069449.4765604017 / 991044.3488345748) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((2584511.6175104924 / ((3069449.4765604017 - 2685984.66599704) - 3099553.919329728)) + 220587.74979319063)))),(X1  + (((3018576.3443830684 * (X1  * X1 )) * 5.442446969320205E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 220586.79823692204)))
8,6.28625701271725E31,107562.99484789337,6.28625701271725E31,(X1  + ((((2797988.594589878 + 220587.74979319063) * (X1  * X1 )) * ((3069449.4765604017 / 991044.3488345748) / (3099553.919329728 * 1836005.585774581))) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + ((2584511.6175104924 / ((3069449.4765604017 - 2685984.66599704) - 3099553.919329728)) + 220587.74979319063)))),(X1  + (((3018576.3443830684 * (X1  * X1 )) * 5.442446969320205E-13) * (((3099553.919329728 * X1 ) - 3135840.6754858973) + 220586.79823692204)))
9,5.771189071045138E33,38284.43239469534,5.771189071045138E33,(((3099553.919329728 / (1836005.585774581 * (((3135840.6754858973 / ((3135840.6754858973 - 3069449.4765604017) - (X1  + (220587.74979319063 * ((3069449.4765604017 + (X1  * 3135840.6754858973)) / ((3069449.4765604017 / 3392485.2716381643) + (3392485.2716381643 + 991044.3488345748))))))) / X1 ) / X1 ))) * ((((3099553.919329728 - 2685984.66599704) + 1836005.585774581) / (220587.74979319063 / 1836005.585774581)) / (3135840.6754858973 - ((3069449.4765604017 - (((220587.74979319063 / X1 ) / ((3099553.919329728 - 2685984.66599704) - ((((220587.74979319063 / 2584511.6175104924) / (3099553.919329728 - (220587.74979319063 * (2584511.6175104924 * (X1  / 2685984.66599704))))) / (((220587.74979319063 * (2797988.594589878 + 3135840.6754858973)) + (220587.74979319063 / (220587.74979319063 * 1836005.585774581))) + X1 )) / 3069449.4765604017))) + 2797988.594589878)) * 2797988.594589878)))) * (3099553.919329728 + ((220587.74979319063 / 2797988.594589878) - (((2584511.6175104924 - 1836005.585774581) + (3099553.919329728 / 2797988.594589878)) - X1 )))),(((3099553.919329728 / (1836005.585774581 * (((3135840.6754858973 / (66391.19892549561 - (X1  + (220587.74979319063 * ((3069449.4765604017 + (X1  * 3135840.6754858973)) / 4383530.525251753))))) / X1 ) / X1 ))) * (1.8723759474817388E7 / (3135840.6754858973 - ((3069449.4765604017 - (((220587.74979319063 / X1 ) / (413569.253332688 - (((0.08534987743861248 / (3099553.919329728 - (220587.74979319063 * (2584511.6175104924 * (X1  / 2685984.66599704))))) / (1.308930046342986E12 + X1 )) / 3069449.4765604017))) + 2797988.594589878)) * 2797988.594589878)))) * (3099553.919329728 + (0.07883797318534953 - (748507.1395152374 - X1 ))))
