Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,2.3852270472519314E25,6871.426065774118,2.3852270472519314E25,((((-2551.5250815019026 / -3464.7696842589735) - ((X1  / -2551.5250815019026) * (-4101.823918777666 * -199.89557616177626))) - 1894.8751279627522) + 1796.3911221518028),(((0.7364198241210395 - ((X1  / -2551.5250815019026) * 819936.4555582165)) - 1894.8751279627522) + 1796.3911221518028)
1,1.7880967761348975E23,5712.26239460891,1.7880967761348975E23,(X1  * (1894.8751279627522 / ((((((((((1170.9608962583025 + 1170.9608962583025) - ((-199.89557616177626 * 1796.3911221518028) - (-2551.5250815019026 - -2931.461608764176))) - X1 ) * ((X1  - (1796.3911221518028 / -3464.7696842589735)) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - ((-2931.461608764176 - -2931.461608764176) * (-199.89557616177626 + 1894.8751279627522))) - -3464.7696842589735) / -2551.5250815019026) / (1170.9608962583025 / -4001.1840552078684)))),(X1  * (1894.8751279627522 / ((((((((361812.4966942133 - X1 ) * ((X1  - -0.5184734588025021) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - 0.0) - -3464.7696842589735) / -2551.5250815019026) / -0.2926535945613902)))
2,8.612146129892737E22,5706.446674997868,8.612146129892737E22,(X1  * (1894.8751279627522 / ((((((((((1170.9608962583025 + 1170.9608962583025) - ((-199.89557616177626 * 1796.3911221518028) - (-2551.5250815019026 - -2931.461608764176))) - -3464.7696842589735) * ((X1  - (1796.3911221518028 / -3464.7696842589735)) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - ((-2931.461608764176 - -2931.461608764176) * (-199.89557616177626 + 1894.8751279627522))) - -3464.7696842589735) / -2551.5250815019026) / (1170.9608962583025 / -4001.1840552078684)))),(X1  * (1894.8751279627522 / (((((((365277.26637847227 * ((X1  - -0.5184734588025021) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - 0.0) - -3464.7696842589735) / -2551.5250815019026) / -0.2926535945613902)))
3,6.0255705759655125E19,5694.660604218581,6.0255705759655125E19,(X1  * (1894.8751279627522 / ((((((((((1170.9608962583025 + 1170.9608962583025) - ((-199.89557616177626 * 1796.3911221518028) - (-2551.5250815019026 - -2931.461608764176))) - -3464.7696842589735) * ((X1  - (1796.3911221518028 / -2931.461608764176)) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - ((-2931.461608764176 - -2931.461608764176) * (-199.89557616177626 + 1894.8751279627522))) - -3464.7696842589735) / -2551.5250815019026) / (1170.9608962583025 / -4001.1840552078684)))),(X1  * (1894.8751279627522 / (((((((365277.26637847227 * ((X1  - -0.612797082786669) / 1694.6879189100864)) + X1 ) + 1796.3911221518028) - 0.0) - -3464.7696842589735) / -2551.5250815019026) / -0.2926535945613902)))
4,6.009279388757497E19,929.5988900017944,6.009279388757497E19,(X1  / (-199.89557616177626 / (((((1796.3911221518028 + 1694.6879189100864) / ((X1  / (1894.8751279627522 / -2551.5250815019026)) / (1170.9608962583025 / -3464.7696842589735))) + (-2551.5250815019026 + 1894.8751279627522)) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666))),(X1  / (-199.89557616177626 / ((((3491.0790410618893 / ((X1  / -0.7426441314256543) / -0.33796211666771764)) + -656.6499535391504) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666)))
5,6.077698778907522E20,929.5988900017944,6.077698778907522E20,(X1  / (-199.89557616177626 / (((((1796.3911221518028 + 1694.6879189100864) / ((X1  / (1894.8751279627522 / -2551.5250815019026)) / (1170.9608962583025 / -3464.7696842589735))) + (-2551.5250815019026 + 1894.8751279627522)) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666))),(X1  / (-199.89557616177626 / ((((3491.0790410618893 / ((X1  / -0.7426441314256543) / -0.33796211666771764)) + -656.6499535391504) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666)))
6,3.0260596765013168E13,929.5988900017944,3.0260596765013168E13,(X1  / (-199.89557616177626 / (((((1796.3911221518028 + 1694.6879189100864) / ((X1  / (1894.8751279627522 / -2551.5250815019026)) / (1170.9608962583025 / -3464.7696842589735))) + (-2551.5250815019026 + 1894.8751279627522)) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666))),(X1  / (-199.89557616177626 / ((((3491.0790410618893 / ((X1  / -0.7426441314256543) / -0.33796211666771764)) + -656.6499535391504) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666)))
7,5.566326966449107E24,929.5988900017944,5.566326966449107E24,(X1  / (-199.89557616177626 / (((((1796.3911221518028 + 1694.6879189100864) / ((X1  / (1894.8751279627522 / -2551.5250815019026)) / (1170.9608962583025 / -3464.7696842589735))) + (-2551.5250815019026 + 1894.8751279627522)) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666))),(X1  / (-199.89557616177626 / ((((3491.0790410618893 / ((X1  / -0.7426441314256543) / -0.33796211666771764)) + -656.6499535391504) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666)))
8,2.772549437668597E15,929.5988900017944,2.772549437668597E15,(X1  / (-199.89557616177626 / (((((1796.3911221518028 + 1694.6879189100864) / ((X1  / (1894.8751279627522 / -2551.5250815019026)) / (1170.9608962583025 / -3464.7696842589735))) + (-2551.5250815019026 + 1894.8751279627522)) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666))),(X1  / (-199.89557616177626 / ((((3491.0790410618893 / ((X1  / -0.7426441314256543) / -0.33796211666771764)) + -656.6499535391504) * ((X1  / -2931.461608764176) * X1 )) * -4101.823918777666)))
9,1.08549802349849037E18,422.1336096378238,1.08549802349849037E18,(((((-2551.5250815019026 + (-4101.823918777666 / ((-4101.823918777666 / -4101.823918777666) - X1 ))) * ((1796.3911221518028 / -2551.5250815019026) / (((1170.9608962583025 + (-2551.5250815019026 + -2551.5250815019026)) * -4001.1840552078684) + ((1170.9608962583025 * 1796.3911221518028) / -2551.5250815019026)))) - (1170.9608962583025 + ((-4101.823918777666 * X1 ) + 1796.3911221518028))) / (((1894.8751279627522 + X1 ) + -199.89557616177626) / (X1  + X1 ))) * (((-4101.823918777666 + X1 ) / (-2931.461608764176 - (((1796.3911221518028 * 1170.9608962583025) / (-3464.7696842589735 + -4001.1840552078684)) * ((X1  * -3464.7696842589735) + 1170.9608962583025)))) + X1 )),(((((-2551.5250815019026 + (-4101.823918777666 / (1.0 - X1 ))) * -4.475194525821397E-8) - (1170.9608962583025 + ((-4101.823918777666 * X1 ) + 1796.3911221518028))) / (((1894.8751279627522 + X1 ) + -199.89557616177626) / (X1  + X1 ))) * (((-4101.823918777666 + X1 ) / (-2931.461608764176 - (-281.746154855702 * ((X1  * -3464.7696842589735) + 1170.9608962583025)))) + X1 ))
