Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,188.81140956292995,0.9651939653806274,188.81140956292995,(X1  * ((3.8324634618283437 + (1.1395764370259376 * 3.1728180095629357)) / ((X1  + (1.60146095687139 + 1.2968474182800231)) * 1.2968474182800231))),(X1  * (7.448132104497802 / ((X1  + 2.898308375151413) * 1.2968474182800231)))
1,49.02454435060525,0.9651939653806274,49.02454435060525,(X1  * ((3.8324634618283437 + (1.1395764370259376 * 3.1728180095629357)) / ((X1  + (1.60146095687139 + 1.2968474182800231)) * 1.2968474182800231))),(X1  * (7.448132104497802 / ((X1  + 2.898308375151413) * 1.2968474182800231)))
2,23.92691479884172,0.3888079251140888,23.92691479884172,(X1  / ((1.2968474182800231 / 3.8324634618283437) * ((1.1395764370259376 - (2.6300566856205627 / 3.8324634618283437)) * (X1  + (1.2968474182800231 + 2.6300566856205627))))),(X1  / (0.3383848094565628 * (0.4533189653458689 * (X1  + 3.926904103900586))))
3,18.33991772050607,0.3888079251140888,18.33991772050607,(X1  / ((1.2968474182800231 / 3.8324634618283437) * ((1.1395764370259376 - (2.6300566856205627 / 3.8324634618283437)) * (X1  + (1.2968474182800231 + 2.6300566856205627))))),(X1  / (0.3383848094565628 * (0.4533189653458689 * (X1  + 3.926904103900586))))
4,16.95306190013696,0.349446395659992,16.95306190013696,((1.60146095687139 + (((4.88777213444917 / 2.6300566856205627) + 1.2968474182800231) * 0.6095201945131162)) * ((1.1395764370259376 / (((1.9705014318693044 + 1.9705014318693044) + X1 ) / 1.60146095687139)) * X1 )),(3.524665309685492 * ((1.1395764370259376 / ((3.9410028637386088 + X1 ) / 1.60146095687139)) * X1 ))
5,16.201225648079326,0.3466199969348056,16.201225648079326,((((1.1395764370259376 - (1.1395764370259376 + 2.6300566856205627)) - 3.1728180095629357) + 1.1395764370259376) * ((X1  / ((X1  + 3.8324634618283437) / (1.9705014318693044 - 3.1728180095629357))) * 1.1395764370259376)),(-4.66329825815756 * ((X1  / ((X1  + 3.8324634618283437) / -1.2023165776936313)) * 1.1395764370259376))
6,15.721117535796672,0.3466199969348056,15.721117535796672,((((1.1395764370259376 - (1.1395764370259376 + 2.6300566856205627)) - 3.1728180095629357) + 1.1395764370259376) * ((X1  / ((X1  + 3.8324634618283437) / (1.9705014318693044 - 3.1728180095629357))) * 1.1395764370259376)),(-4.66329825815756 * ((X1  / ((X1  + 3.8324634618283437) / -1.2023165776936313)) * 1.1395764370259376))
7,14.570437566265545,0.3466199969348056,14.570437566265545,((((1.1395764370259376 - (1.1395764370259376 + 2.6300566856205627)) - 3.1728180095629357) + 1.1395764370259376) * ((X1  / ((X1  + 3.8324634618283437) / (1.9705014318693044 - 3.1728180095629357))) * 1.1395764370259376)),(-4.66329825815756 * ((X1  / ((X1  + 3.8324634618283437) / -1.2023165776936313)) * 1.1395764370259376))
8,13.025665432623098,0.30942977035842145,13.025665432623098,(X1  / (((((1.9705014318693044 * X1 ) / (1.60146095687139 + (1.60146095687139 - ((((1.9705014318693044 + 1.9705014318693044) - 1.2968474182800231) - X1 ) / ((2.6300566856205627 + 1.60146095687139) / 1.9705014318693044))))) + (X1  - (2.6300566856205627 + 1.2968474182800231))) / ((0.6095201945131162 + 1.1395764370259376) * 4.88777213444917)) + (3.8324634618283437 / 3.8324634618283437))),(X1  / (((((1.9705014318693044 * X1 ) / (1.60146095687139 + (1.60146095687139 - ((2.6441554454585856 - X1 ) / 2.147431904415187)))) + (X1  - 3.926904103900586)) / 8.549185776095493) + 1.0))
9,11.615751396920817,0.1734310758864277,11.615751396920817,(X1  / (((((2.6300566856205627 * X1 ) / (1.60146095687139 + (1.60146095687139 - (((1.1395764370259376 - 1.2968474182800231) - X1 ) / ((2.6300566856205627 + 1.60146095687139) / 1.9705014318693044))))) + (X1  - (2.6300566856205627 + 1.2968474182800231))) / ((0.6095201945131162 + 1.1395764370259376) * 4.88777213444917)) + (3.8324634618283437 / 3.8324634618283437))),(X1  / (((((2.6300566856205627 * X1 ) / (1.60146095687139 + (1.60146095687139 - ((-0.15727098125408556 - X1 ) / 2.147431904415187)))) + (X1  - 3.926904103900586)) / 8.549185776095493) + 1.0))
