Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual
0,216984.500890362,63030.43228644216,216984.500890362,((-9.046101497064267 + (((-8.888500304052581 / 5.272601639410029) + -8.888500304052581) * ((X1  * 4.700230226039261) * (1.3914331014779524 + -6.370052541387365)))) + (-0.9975731111452486 * -4.95431541458278))
1,132890.05671570895,63030.43228644216,132890.05671570895,((-9.046101497064267 + (((-8.888500304052581 / 5.272601639410029) + -8.888500304052581) * ((X1  * 4.700230226039261) * (1.3914331014779524 + -6.370052541387365)))) + (-0.9975731111452486 * -4.95431541458278))
2,127020.40856545066,63001.93110315492,127020.40856545066,((-2.4117443911062004 + (-6.370052541387365 + ((8.98440352680947 - 2.6317682592689255) + (6.94457373124359 * -5.588546469800533)))) * ((-4.242343254127523 / ((1.3694897220941264 * ((2.6317682592689255 * -5.136293659644961) - 2.2788635038452103)) - (1.226805181115818 + 8.37950866489074))) - ((X1  * (4.319962757801903 + 7.259087951924666)) * ((-4.242343254127523 + 6.254728062944668) / 3.8554351874383173))))
3,127165.03918311477,26790.77025495954,127165.03918311477,((((X1  * (1.2859959389685738 - ((X1  * 7.426908434327153) + -5.136293659644961))) + -6.885545192921176) * ((-9.087982671863454 / 4.319962757801903) - -0.9975731111452486)) * (-0.5955420161374789 * ((-8.577547352002654 / -6.885545192921176) - X1 )))
4,131349.83736449733,18452.292135749398,131349.83736449733,(((-9.794076653387403 + 1.7033151054954132) * -0.930403691399027) + ((((6.316927257932981 / 4.700230226039261) + -0.930403691399027) + 4.319962757801903) - ((6.554189495789629 + -9.087982671863454) - ((X1  * 3.9622003381795334) * ((X1  * X1 ) - -6.885545192921176)))))
5,152129.70268019993,10467.721777837203,152129.70268019993,((((6.560251529919626 - (X1  + (3.8554351874383173 / ((3.9622003381795334 + X1 ) - ((-1.784728972800151 - -0.9975731111452486) * 1.2859959389685738))))) + ((X1  - -2.4881486804658692) * ((((X1  * -2.4881486804658692) + -5.322436168644005) - 7.658534660709861) + (((9.583630733455486 - (7.36235583643461 * X1 )) + -1.8624760839583043) * ((4.700230226039261 + 2.8259079486723664) / -2.4117443911062004))))) / 3.9622003381795334) * (-0.6779057289107406 + X1 ))
6,197914.18466737118,7823.23851875266,197914.18466737118,(X1  * (((((-5.136293659644961 / 6.554189495789629) - (8.37950866489074 * 8.98440352680947)) + 1.2859959389685738) / 7.658534660709861) + (((3.9622003381795334 / ((5.364352608434233 / (((((-6.370052541387365 * ((X1  / (3.8968249738858223 * -2.4117443911062004)) + ((2.2788635038452103 - -4.242343254127523) * X1 ))) - (-5.588546469800533 + 3.6061302313783354)) * -9.046101497064267) + 1.7033151054954132) / -6.178486956465554)) * ((-6.178486956465554 - ((6.0624428985637415 / -6.370052541387365) - (0.23266523529464855 / 3.5786403251522696))) + -8.920902037830015))) + -2.4881486804658692) * (1.7033151054954132 * X1 ))))
