Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,1.5514356120054078E8,9.365955051725923,1.5514356120054078E8,(((-26.560145966197123 - ((-13.50413107759787 + -26.560145966197123) + -21.719336361581895)) - (-26.560145966197123 / (-26.560145966197123 + -6.554900067019158))) + ((((-18.704877238751116 / -26.560145966197123) + -18.704877238751116) * -18.704877238751116) / (-6.554900067019158 + (X1  * (-13.50413107759787 - -12.826593075533822))))),(34.421410696164656 + (336.6995970601211 / (-6.554900067019158 + (X1  * -0.6775380020640487))))
1,1055797.5215846715,9.159932817038722,1055797.5215846715,(((((-3.2099302704433583 / -0.6628966384798076) - -26.560145966197123) / (-3.2099302704433583 * (-13.50413107759787 - -18.704877238751116))) - (((X1  * -12.826593075533822) / (-18.704877238751116 + -13.50413107759787)) * -12.826593075533822)) + (-13.50413107759787 - (-25.65607912769119 / -12.826593075533822))),((-1.8810568748577416 - (((X1  * -12.826593075533822) / -32.209008316348985) * -12.826593075533822)) + -15.50435662280746)
2,6168.342727179604,6.935208063810357,6168.342727179604,((-26.560145966197123 + -18.704877238751116) / (X1  - (-3.2099302704433583 / (-25.65607912769119 / -21.719336361581895)))),(-45.265023204948236 / (X1  - -2.71738931323045))
3,2019.138925354366,5.8094898663443,2019.138925354366,((((-21.719336361581895 / (-18.704877238751116 / -26.560145966197123)) * (-0.6628966384798076 + (-6.554900067019158 + -6.554900067019158))) - (((-26.560145966197123 - -25.65607912769119) + -3.2099302704433583) * -13.50413107759787)) / ((-21.719336361581895 + (X1  * -6.554900067019158)) - X1 )),(369.20161840159994 / ((-21.719336361581895 + (X1  * -6.554900067019158)) - X1 ))
4,2390.4488755620546,5.8094898663443,2390.4488755620546,((((-21.719336361581895 / (-18.704877238751116 / -26.560145966197123)) * (-0.6628966384798076 + (-6.554900067019158 + -6.554900067019158))) - (((-26.560145966197123 - -25.65607912769119) + -3.2099302704433583) * -13.50413107759787)) / ((-21.719336361581895 + (X1  * -6.554900067019158)) - X1 )),(369.20161840159994 / ((-21.719336361581895 + (X1  * -6.554900067019158)) - X1 ))
5,284.32085305619563,3.713374481560182,284.32085305619563,(((-6.554900067019158 * (((-18.704877238751116 + -7.130444497247002) - -7.130444497247002) / -7.130444497247002)) / (X1  - ((-26.560145966197123 - -25.65607912769119) / (-12.826593075533822 / (-25.65607912769119 + X1 ))))) + -7.130444497247002),((-17.195085259160614 / (X1  - (-0.9040668385059334 / (-12.826593075533822 / (-25.65607912769119 + X1 ))))) + -7.130444497247002)
6,3274.86222628331,3.525805404209878,3274.86222628331,((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + (-12.826593075533822 - -7.130444497247002)) - -0.6628966384798076) - -6.554900067019158)) + (-6.554900067019158 / -21.719336361581895))),((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + -5.69614857828682) - -0.6628966384798076) - -6.554900067019158)) + 0.30180020042480443))
7,1146.6755379278356,3.525805404209878,1146.6755379278356,((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + (-12.826593075533822 - -7.130444497247002)) - -0.6628966384798076) - -6.554900067019158)) + (-6.554900067019158 / -21.719336361581895))),((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + -5.69614857828682) - -0.6628966384798076) - -6.554900067019158)) + 0.30180020042480443))
8,1804.5142218629721,3.525805404209878,1804.5142218629721,((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + (-12.826593075533822 - -7.130444497247002)) - -0.6628966384798076) - -6.554900067019158)) + (-6.554900067019158 / -21.719336361581895))),((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + -5.69614857828682) - -0.6628966384798076) - -6.554900067019158)) + 0.30180020042480443))
9,9522.532695998383,3.525805404209878,9522.532695998383,((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + (-12.826593075533822 - -7.130444497247002)) - -0.6628966384798076) - -6.554900067019158)) + (-6.554900067019158 / -21.719336361581895))),((X1  + -12.826593075533822) + ((-7.130444497247002 / (((X1  + -5.69614857828682) - -0.6628966384798076) - -6.554900067019158)) + 0.30180020042480443))
