Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,17263.21868398862,6.310097895442646,17263.21868398862,((((0.22717934094468495 / (-0.11663385041959384 - 0.7759787673065479)) - (-0.8441757587168766 / X1 )) * (((0.7759787673065479 - -0.11663385041959384) * (-0.8441757587168766 * -0.8441757587168766)) - -0.6547413575289811)) / 0.7759787673065479),(((-0.25451056419458407 - (-0.8441757587168766 / X1 )) * 1.2908463077121899) / 0.7759787673065479)
1,14163.151744174485,6.125405004159221,14163.151744174485,((((-0.002923743380059074 + -0.41993306498958205) / ((-0.8441757587168766 / X1 ) - (-0.30467082281996993 - -0.002923743380059074))) - -0.41993306498958205) / X1 ),(((-0.4228568083696411 / ((-0.8441757587168766 / X1 ) - -0.30174707943991086)) - -0.41993306498958205) / X1 )
2,73.79784840719292,6.125405004159221,73.79784840719292,((((-0.002923743380059074 + -0.41993306498958205) / ((-0.8441757587168766 / X1 ) - (-0.30467082281996993 - -0.002923743380059074))) - -0.41993306498958205) / X1 ),(((-0.4228568083696411 / ((-0.8441757587168766 / X1 ) - -0.30174707943991086)) - -0.41993306498958205) / X1 )
3,28.920696206996208,5.942130872575802,28.920696206996208,((((-0.6547413575289811 / X1 ) + (-0.30467082281996993 / -0.11663385041959384)) / X1 ) + -0.9915415287592211),((((-0.6547413575289811 / X1 ) + 2.612198960455368) / X1 ) + -0.9915415287592211)
4,20.853446475114517,5.775252292288042,20.853446475114517,((-0.002923743380059074 / (X1  * (-0.11663385041959384 * -0.002923743380059074))) - (-0.6547413575289811 - 0.22717934094468495)),((-0.002923743380059074 / (X1  * 3.4100744805508777E-4)) - -0.881920698473666)
5,20.331091692349368,5.302139376784911,20.331091692349368,(((((-0.6547413575289811 - 0.7759787673065479) + (0.48618660814462134 * X1 )) + ((-0.6547413575289811 * -0.30467082281996993) / (-0.41993306498958205 + 0.22717934094468495))) + -0.30467082281996993) * ((((((((-0.8441757587168766 / -0.41993306498958205) + 0.48618660814462134) + -0.9915415287592211) - (-0.41993306498958205 - (-0.9915415287592211 + (-0.8441757587168766 / ((-0.8441757587168766 + (-0.002923743380059074 / 0.7759787673065479)) + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + (-0.30467082281996993 + (0.22717934094468495 + (0.7759787673065479 * (-0.002923743380059074 * -0.6547413575289811)))))),((((-1.430720124835529 + (0.48618660814462134 * X1 )) + -1.0348987503149607) + -0.30467082281996993) * (((((1.504907735739501 - (-0.41993306498958205 - (-0.9915415287592211 + (-0.8441757587168766 / (-0.8479435723520453 + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + -0.07600602905019141))
6,69.4165866170518,4.430116537317919,69.4165866170518,(((((-0.6547413575289811 - 0.7759787673065479) + (0.48618660814462134 * X1 )) + ((-0.6547413575289811 * -0.30467082281996993) / (-0.41993306498958205 + 0.22717934094468495))) + -0.30467082281996993) * ((((((((-0.8441757587168766 / -0.41993306498958205) + 0.48618660814462134) + -0.9915415287592211) - (-0.41993306498958205 - (-0.9915415287592211 + (-0.8441757587168766 / ((-0.8441757587168766 + (-0.002923743380059074 / 0.7759787673065479)) + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + (-0.30467082281996993 + (0.22717934094468495 + (0.7759787673065479 * (-0.9915415287592211 * -0.30467082281996993)))))),((((-1.430720124835529 + (0.48618660814462134 * X1 )) + -1.0348987503149607) + -0.30467082281996993) * (((((1.504907735739501 - (-0.41993306498958205 - (-0.9915415287592211 + (-0.8441757587168766 / (-0.8479435723520453 + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + 0.1569268720397704))
7,20.61417809931147,4.289800038252786,20.61417809931147,(((((-0.6547413575289811 - 0.7759787673065479) + (0.48618660814462134 * X1 )) + ((-0.6547413575289811 * -0.30467082281996993) / (-0.41993306498958205 + 0.22717934094468495))) + -0.30467082281996993) * ((((((((-0.8441757587168766 / -0.41993306498958205) + 0.48618660814462134) + -0.9915415287592211) - (X1  - (-0.9915415287592211 + (-0.8441757587168766 / ((-0.8441757587168766 + (-0.002923743380059074 / 0.7759787673065479)) + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + (-0.30467082281996993 + (0.22717934094468495 + (0.7759787673065479 * (-0.002923743380059074 * -0.6547413575289811)))))),((((-1.430720124835529 + (0.48618660814462134 * X1 )) + -1.0348987503149607) + -0.30467082281996993) * (((((1.504907735739501 - (X1  - (-0.9915415287592211 + (-0.8441757587168766 / (-0.8479435723520453 + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + -0.07600602905019141))
8,19.65522736914254,4.289800038252786,19.65522736914254,(((((-0.6547413575289811 - 0.7759787673065479) + (0.48618660814462134 * X1 )) + ((-0.6547413575289811 * -0.30467082281996993) / (-0.41993306498958205 + 0.22717934094468495))) + -0.30467082281996993) * ((((((((-0.8441757587168766 / -0.41993306498958205) + 0.48618660814462134) + -0.9915415287592211) - (X1  - (-0.9915415287592211 + (-0.8441757587168766 / ((-0.8441757587168766 + (-0.002923743380059074 / 0.7759787673065479)) + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + (-0.30467082281996993 + (0.22717934094468495 + (0.7759787673065479 * (-0.002923743380059074 * -0.6547413575289811)))))),((((-1.430720124835529 + (0.48618660814462134 * X1 )) + -1.0348987503149607) + -0.30467082281996993) * (((((1.504907735739501 - (X1  - (-0.9915415287592211 + (-0.8441757587168766 / (-0.8479435723520453 + (-0.6547413575289811 / (X1  / -0.6547413575289811))))))) * 0.48618660814462134) - (-0.8441757587168766 + X1 )) * -0.30467082281996993) + -0.07600602905019141))
9,19.63434492943191,3.6766952483277002,19.63434492943191,((-0.41993306498958205 - (((0.22717934094468495 / 0.22717934094468495) - -0.002923743380059074) + ((((((-0.9915415287592211 * -0.41993306498958205) + -0.8441757587168766) - (((((0.7759787673065479 / 0.22717934094468495) + (-0.002923743380059074 + 0.48618660814462134)) - 0.48618660814462134) - X1 ) * 0.22717934094468495)) * (X1  * -0.9915415287592211)) / (-0.9915415287592211 * ((-0.9915415287592211 + (0.22717934094468495 + (-0.002923743380059074 + -0.002923743380059074))) / X1 ))) * (-0.9915415287592211 * -0.6547413575289811)))) * ((-0.8441757587168766 / X1 ) - -0.30467082281996993)),((-0.41993306498958205 - (1.002923743380059 + ((((-0.42779468548056104 - ((3.4127863475101514 - X1 ) * 0.22717934094468495)) * (X1  * -0.9915415287592211)) / (-0.9915415287592211 * (-0.7702096745746543 / X1 ))) * 0.6492032465861737))) * ((-0.8441757587168766 / X1 ) - -0.30467082281996993))
