Generation,Avg Fitness,Best Fitness,Avg Size,Best Individual,Simplified
0,104584.87632309904,7.298584765134939,104584.87632309904,((-0.01124876184384016 + (0.5815885767274385 / ((X1  * 0.3747300079544964) / (0.3747300079544964 / 0.5815885767274385)))) + (-0.01124876184384016 * X1 )),((-0.01124876184384016 + (0.5815885767274385 / ((X1  * 0.3747300079544964) / 0.6443214721703753))) + (-0.01124876184384016 * X1 ))
1,13993.01898117178,7.289823787158706,13993.01898117178,((0.5888291555402145 / (0.3747300079544964 + ((0.5815885767274385 - 0.3747300079544964) * (X1  - -0.01124876184384016)))) - ((-0.1529905477016451 * (X1  * 0.5888291555402145)) * (0.4547454300625464 - 0.574431240569907))),((0.5888291555402145 / (0.3747300079544964 + (0.20685856877294206 * (X1  - -0.01124876184384016)))) - ((-0.1529905477016451 * (X1  * 0.5888291555402145)) * -0.1196858105073606))
2,5820.317782504134,7.225436815164328,5820.317782504134,(((X1  * -0.01124876184384016) - (0.3747300079544964 + ((0.4547454300625464 - 0.574431240569907) / (0.5815885767274385 - -0.01124876184384016)))) + (0.6903466607157394 / X1 )),(((X1  * -0.01124876184384016) - 0.17284358360106405) + (0.6903466607157394 / X1 ))
3,395.9032576299444,7.0102548663332644,395.9032576299444,((-0.01124876184384016 + ((0.6903466607157394 / X1 ) / 0.5888291555402145)) + (-0.01124876184384016 * X1 )),((-0.01124876184384016 + ((0.6903466607157394 / X1 ) / 0.5888291555402145)) + (-0.01124876184384016 * X1 ))
4,3916.7217741529053,6.688285722619552,3916.7217741529053,((-0.01124876184384016 * ((X1  + 0.3747300079544964) + -0.1529905477016451)) + ((0.5815885767274385 / 0.5815885767274385) / (0.3747300079544964 * X1 ))),((-0.01124876184384016 * ((X1  + 0.3747300079544964) + -0.1529905477016451)) + (1.0 / (0.3747300079544964 * X1 )))
5,5361.840408922889,5.406595224117576,5361.840408922889,((((((((0.6903466607157394 / 0.574431240569907) / (0.5888291555402145 / 0.4547454300625464)) / ((-0.01124876184384016 * (((-0.3793730341617556 * (0.5815885767274385 * 0.3747300079544964)) * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / (((-0.3793730341617556 + (0.6903466607157394 * (0.5815885767274385 - 0.574431240569907))) / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * (0.5815885767274385 / 0.5888291555402145)) - ((-0.3793730341617556 * 0.574431240569907) + 0.574431240569907)) * 0.574431240569907)) + 0.6903466607157394)))) / (((0.6903466607157394 - -0.1529905477016451) * (X1  + -0.1529905477016451)) - (-0.01124876184384016 + (0.5888291555402145 * -0.01124876184384016))))) / X1 )) + -0.3793730341617556)) * (-0.01124876184384016 * 0.5815885767274385)) - (-0.3793730341617556 / (-0.01124876184384016 / ((0.4547454300625464 * 0.5815885767274385) * (X1  + (0.3747300079544964 / (-0.01124876184384016 + 0.6903466607157394))))))) + ((0.3747300079544964 / -0.6582945277803831) - -0.3793730341617556)) - (X1  / (-0.3793730341617556 - -0.01124876184384016))) * ((((0.6903466607157394 + 0.574431240569907) + (-0.01124876184384016 / 0.4547454300625464)) * -0.01124876184384016) * (((0.6903466607157394 * 0.5888291555402145) - -0.1529905477016451) * 0.574431240569907))),((((((0.928128727130579 / ((-0.01124876184384016 * ((-0.08268006283895535 * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / ((-0.37443199104578373 / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * 0.9877034301976211) - 0.35650751791760005) * 0.574431240569907)) + 0.6903466607157394)))) / ((0.8433372084173845 * (X1  + -0.1529905477016451)) - -0.01787236078122155))) / X1 )) + -0.3793730341617556)) * -0.006542151390704915) - (-0.3793730341617556 / (-0.01124876184384016 / (0.2644747474433833 * (X1  + 0.5518055770412318))))) + -0.18987065865458808) - (X1  / -0.36812427231791545)) * -0.004483000959325032)
6,715.5335521599058,5.267734397667356,715.5335521599058,((((((((0.6903466607157394 / 0.574431240569907) / (0.5888291555402145 / 0.4547454300625464)) / ((-0.01124876184384016 * (((-0.3793730341617556 * (0.5815885767274385 * 0.3747300079544964)) * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / (((-0.3793730341617556 + (0.6903466607157394 * (-0.6582945277803831 - (0.574431240569907 * ((X1  * -0.01124876184384016) + -0.1529905477016451))))) / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * (0.5815885767274385 / 0.5888291555402145)) - ((-0.3793730341617556 * 0.574431240569907) + 0.574431240569907)) * 0.574431240569907)) + 0.6903466607157394)))) / 0.3747300079544964)) / X1 )) + -0.3793730341617556)) * (-0.01124876184384016 * 0.5815885767274385)) - (-0.3793730341617556 / (-0.01124876184384016 / ((0.4547454300625464 * 0.5815885767274385) * X1 )))) + ((0.3747300079544964 / (X1  - (-0.1529905477016451 + (((-0.01124876184384016 + -0.01124876184384016) - -0.3793730341617556) / 0.6903466607157394)))) - -0.3793730341617556)) - (X1  / (-0.3793730341617556 - -0.01124876184384016))) * ((((0.6903466607157394 + 0.574431240569907) + (-0.01124876184384016 / 0.4547454300625464)) * -0.01124876184384016) * (((0.6903466607157394 * 0.5888291555402145) - -0.1529905477016451) * 0.574431240569907))),((((((0.928128727130579 / ((-0.01124876184384016 * ((-0.08268006283895535 * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / (((-0.3793730341617556 + (0.6903466607157394 * (-0.6582945277803831 - (0.574431240569907 * ((X1  * -0.01124876184384016) + -0.1529905477016451))))) / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * 0.9877034301976211) - 0.35650751791760005) * 0.574431240569907)) + 0.6903466607157394)))) / 0.3747300079544964)) / X1 )) + -0.3793730341617556)) * -0.006542151390704915) - (-0.3793730341617556 / (-0.01124876184384016 / (0.2644747474433833 * X1 )))) + ((0.3747300079544964 / (X1  - 0.3639606172450688)) - -0.3793730341617556)) - (X1  / -0.36812427231791545)) * -0.004483000959325032)
7,575.09809917081,5.267734397667356,575.09809917081,((((((((0.6903466607157394 / 0.574431240569907) / (0.5888291555402145 / 0.4547454300625464)) / ((-0.01124876184384016 * (((-0.3793730341617556 * (0.5815885767274385 * 0.3747300079544964)) * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / (((-0.3793730341617556 + (0.6903466607157394 * (-0.6582945277803831 - (0.574431240569907 * ((X1  * -0.01124876184384016) + -0.1529905477016451))))) / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * (0.5815885767274385 / 0.5888291555402145)) - ((-0.3793730341617556 * 0.574431240569907) + 0.574431240569907)) * 0.574431240569907)) + 0.6903466607157394)))) / 0.3747300079544964)) / X1 )) + -0.3793730341617556)) * (-0.01124876184384016 * 0.5815885767274385)) - (-0.3793730341617556 / (-0.01124876184384016 / ((0.4547454300625464 * 0.5815885767274385) * X1 )))) + ((0.3747300079544964 / (X1  - (-0.1529905477016451 + (((-0.01124876184384016 + -0.01124876184384016) - -0.3793730341617556) / 0.6903466607157394)))) - -0.3793730341617556)) - (X1  / (-0.3793730341617556 - -0.01124876184384016))) * ((((0.6903466607157394 + 0.574431240569907) + (-0.01124876184384016 / 0.4547454300625464)) * -0.01124876184384016) * (((0.6903466607157394 * 0.5888291555402145) - -0.1529905477016451) * 0.574431240569907))),((((((0.928128727130579 / ((-0.01124876184384016 * ((-0.08268006283895535 * ((0.6903466607157394 + (0.574431240569907 * (-0.01124876184384016 / (((-0.3793730341617556 + (0.6903466607157394 * (-0.6582945277803831 - (0.574431240569907 * ((X1  * -0.01124876184384016) + -0.1529905477016451))))) / ((((0.6903466607157394 - ((0.4547454300625464 * (-0.01124876184384016 * (X1  - 0.5888291555402145))) * 0.3747300079544964)) * 0.9877034301976211) - 0.35650751791760005) * 0.574431240569907)) + 0.6903466607157394)))) / 0.3747300079544964)) / X1 )) + -0.3793730341617556)) * -0.006542151390704915) - (-0.3793730341617556 / (-0.01124876184384016 / (0.2644747474433833 * X1 )))) + ((0.3747300079544964 / (X1  - 0.3639606172450688)) - -0.3793730341617556)) - (X1  / -0.36812427231791545)) * -0.004483000959325032)
8,21510.677005381065,4.183016327525012,21510.677005381065,(-0.01124876184384016 * ((((0.5888291555402145 / 0.6903466607157394) * (0.4547454300625464 - 0.6903466607157394)) / (((-0.3793730341617556 - (0.6903466607157394 * -0.6582945277803831)) * (0.5888291555402145 / X1 )) + ((-0.1529905477016451 * (-0.3793730341617556 * -0.3793730341617556)) * ((((0.3747300079544964 + -0.3793730341617556) / X1 ) - (((-0.6582945277803831 - -0.01124876184384016) + -0.01124876184384016) / (-0.3793730341617556 - 0.5815885767274385))) / (0.5888291555402145 / -0.01124876184384016))))) + (-0.6582945277803831 + X1 ))),(-0.01124876184384016 * ((-0.2009553773258253 / ((0.07507839485887641 * (0.5888291555402145 / X1 )) + (-0.022018996142877566 * (((-0.004643026207259204 / X1 ) - 0.685037279659124) / -52.34613050881314)))) + (-0.6582945277803831 + X1 )))
9,6.641103012822356E8,4.183016327525012,6.641103012822356E8,(-0.01124876184384016 * ((((0.5888291555402145 / 0.6903466607157394) * (0.4547454300625464 - 0.6903466607157394)) / (((-0.3793730341617556 - (0.6903466607157394 * -0.6582945277803831)) * (0.5888291555402145 / X1 )) + ((-0.1529905477016451 * (-0.3793730341617556 * -0.3793730341617556)) * ((((0.3747300079544964 + -0.3793730341617556) / X1 ) - (((-0.6582945277803831 - -0.01124876184384016) + -0.01124876184384016) / (-0.3793730341617556 - 0.5815885767274385))) / (0.5888291555402145 / -0.01124876184384016))))) + (-0.6582945277803831 + X1 ))),(-0.01124876184384016 * ((-0.2009553773258253 / ((0.07507839485887641 * (0.5888291555402145 / X1 )) + (-0.022018996142877566 * (((-0.004643026207259204 / X1 ) - 0.685037279659124) / -52.34613050881314)))) + (-0.6582945277803831 + X1 )))
